requested_mean_accuracy_pct	read_depth	truth_asv	simulated_reads	realized_read_fraction	mapping_derived_expected_fraction
99	1318	Bacillus_4_5;size=3	71	0.053869499	0.052407473
99	1318	Bacillus_7;size=2	40	0.030349014	0.032354825
99	1318	Escherichia_5;size=2	21	0.015933232	0.015738787
99	1318	Listeria_2_5;size=2	117	0.088770865	0.082763194
99	1318	Listeria_6;size=2	64	0.048558422	0.057876999
99	1318	Bacillus_1;size=1	21	0.015933232	0.017421939
99	1318	Bacillus_3;size=1	14	0.010622155	0.017481012
99	1318	Bacillus_8;size=1	41	0.031107739	0.034161582
99	1318	Bacillus_9;size=1	37	0.028072838	0.030173660
99	1318	Escherichia_1;size=1	20	0.015174507	0.010620732
99	1318	Escherichia_2;size=1	10	0.007587253	0.007943996
99	1318	Escherichia_4;size=1	14	0.010622155	0.008495828
99	1318	Escherichia_6;size=1	10	0.007587253	0.008443602
99	1318	Escherichia_7;size=1	26	0.019726859	0.010053384
99	1318	Lactobacillus_1;size=1	41	0.031107739	0.025843540
99	1318	Lactobacillus_2;size=1	37	0.028072838	0.026139039
99	1318	Lactobacillus_3;size=1	50	0.037936267	0.041561596
99	1318	Lactobacillus_4;size=1	53	0.040212443	0.037088370
99	1318	Lactobacillus_5;size=1	43	0.032625190	0.036662349
99	1318	Listeria_1;size=1	53	0.040212443	0.034998090
99	1318	Pseudomonas_1_2_3_4;size=1	24	0.018209408	0.014259479
99	1318	Salmonella_7;size=1	13	0.009863429	0.010762062
99	1318	Staphylococcus_2;size=1	42	0.031866464	0.034441201
99	1318	Staphylococcus_3;size=1	50	0.037936267	0.033490437
99	5792	Salmonella_5;size=5	291	0.050241713	0.053494860
99	5792	Enterococcus_4;size=4	680	0.117403315	0.119606589
99	5792	Staphylococcus_4;size=4	819	0.141401934	0.145715373
99	5792	Bacillus_4_5;size=3	312	0.053867403	0.052407473
99	5792	Bacillus_7;size=2	182	0.031422652	0.032354825
99	5792	Escherichia_5;size=2	101	0.017437845	0.015738787
99	5792	Listeria_2_5;size=2	499	0.086153315	0.082763194
99	5792	Listeria_6;size=2	330	0.056975138	0.057876999
99	5792	Bacillus_1;size=1	99	0.017092541	0.017421939
99	5792	Bacillus_3;size=1	92	0.015883978	0.017481012
99	5792	Bacillus_8;size=1	186	0.032113260	0.034161582
99	5792	Bacillus_9;size=1	174	0.030041436	0.030173660
99	5792	Escherichia_1;size=1	76	0.013121547	0.010620732
99	5792	Escherichia_2;size=1	50	0.008632597	0.007943996
99	5792	Escherichia_4;size=1	53	0.009150552	0.008495828
99	5792	Escherichia_6;size=1	58	0.010013812	0.008443602
99	5792	Escherichia_7;size=1	70	0.012085635	0.010053384
99	5792	Lactobacillus_1;size=1	155	0.026761050	0.025843540
99	5792	Lactobacillus_2;size=1	129	0.022272099	0.026139039
99	5792	Lactobacillus_3;size=1	240	0.041436464	0.041561596
99	5792	Lactobacillus_4;size=1	226	0.039019337	0.037088370
99	5792	Lactobacillus_5;size=1	203	0.035048343	0.036662349
99	5792	Listeria_1;size=1	217	0.037465470	0.034998090
99	5792	Pseudomonas_1_2_3_4;size=1	87	0.015020718	0.014259479
99	5792	Salmonella_7;size=1	56	0.009668508	0.010762062
99	5792	Staphylococcus_2;size=1	197	0.034012431	0.034441201
99	5792	Staphylococcus_3;size=1	210	0.036256906	0.033490437
99	25450	Salmonella_5;size=5	1365	0.053634578	0.053494860
99	25450	Enterococcus_4;size=4	2941	0.115559921	0.119606589
99	25450	Staphylococcus_4;size=4	3720	0.146168959	0.145715373
99	25450	Bacillus_4_5;size=3	1328	0.052180747	0.052407473
99	25450	Bacillus_7;size=2	804	0.031591356	0.032354825
99	25450	Escherichia_5;size=2	390	0.015324165	0.015738787
99	25450	Listeria_2_5;size=2	2128	0.083614931	0.082763194
99	25450	Listeria_6;size=2	1402	0.055088409	0.057876999
99	25450	Bacillus_1;size=1	415	0.016306483	0.017421939
99	25450	Bacillus_3;size=1	478	0.018781925	0.017481012
99	25450	Bacillus_8;size=1	950	0.037328094	0.034161582
99	25450	Bacillus_9;size=1	781	0.030687623	0.030173660
99	25450	Escherichia_1;size=1	294	0.011552063	0.010620732
99	25450	Escherichia_2;size=1	203	0.007976424	0.007943996
99	25450	Escherichia_4;size=1	231	0.009076621	0.008495828
99	25450	Escherichia_6;size=1	216	0.008487230	0.008443602
99	25450	Escherichia_7;size=1	271	0.010648330	0.010053384
99	25450	Lactobacillus_1;size=1	632	0.024833006	0.025843540
99	25450	Lactobacillus_2;size=1	612	0.024047151	0.026139039
99	25450	Lactobacillus_3;size=1	1027	0.040353635	0.041561596
99	25450	Lactobacillus_4;size=1	965	0.037917485	0.037088370
99	25450	Lactobacillus_5;size=1	927	0.036424361	0.036662349
99	25450	Listeria_1;size=1	922	0.036227898	0.034998090
99	25450	Pseudomonas_1_2_3_4;size=1	402	0.015795678	0.014259479
99	25450	Salmonella_7;size=1	269	0.010569745	0.010762062
99	25450	Staphylococcus_2;size=1	877	0.034459725	0.034441201
99	25450	Staphylococcus_3;size=1	900	0.035363458	0.033490437
99	111828	Salmonella_5;size=5	6165	0.055129306	0.053494860
99	111828	Enterococcus_4;size=4	13191	0.117957935	0.119606589
99	111828	Staphylococcus_4;size=4	16445	0.147056193	0.145715373
99	111828	Bacillus_4_5;size=3	5779	0.051677576	0.052407473
99	111828	Bacillus_7;size=2	3644	0.032585757	0.032354825
99	111828	Escherichia_5;size=2	1804	0.016131917	0.015738787
99	111828	Listeria_2_5;size=2	9367	0.083762564	0.082763194
99	111828	Listeria_6;size=2	6429	0.057490074	0.057876999
99	111828	Bacillus_1;size=1	1919	0.017160282	0.017421939
99	111828	Bacillus_3;size=1	1981	0.017714705	0.017481012
99	111828	Bacillus_8;size=1	3815	0.034114891	0.034161582
99	111828	Bacillus_9;size=1	3357	0.030019315	0.030173660
99	111828	Escherichia_1;size=1	1256	0.011231534	0.010620732
99	111828	Escherichia_2;size=1	912	0.008155381	0.007943996
99	111828	Escherichia_4;size=1	953	0.008522016	0.008495828
99	111828	Escherichia_6;size=1	959	0.008575670	0.008443602
99	111828	Escherichia_7;size=1	1127	0.010077977	0.010053384
99	111828	Lactobacillus_1;size=1	2873	0.025691240	0.025843540
99	111828	Lactobacillus_2;size=1	2849	0.025476625	0.026139039
99	111828	Lactobacillus_3;size=1	4605	0.041179311	0.041561596
99	111828	Lactobacillus_4;size=1	4118	0.036824409	0.037088370
99	111828	Lactobacillus_5;size=1	4074	0.036430948	0.036662349
99	111828	Listeria_1;size=1	3901	0.034883929	0.034998090
99	111828	Pseudomonas_1_2_3_4;size=1	1590	0.014218264	0.014259479
99	111828	Salmonella_7;size=1	1236	0.011052688	0.010762062
99	111828	Staphylococcus_2;size=1	3784	0.033837679	0.034441201
99	111828	Staphylococcus_3;size=1	3695	0.033041814	0.033490437
